domain,company_name,icp_match,vertical,persona_match,company_stage,ai_native_maturity,regulatory_data_exposure,agent_deployment_stage,geo_fit,size_fit,buyer_name,buyer_title,buyer_accessibility,wrong_fit_risk,score_total,score_breakdown,tier,reachability_notes,rationale,sources,confidence,first_seen,last_researched,status,outcome
lightly.ai,Lightly,ICP1,,1A,Adjacent,Strong,None apparent,None,EU,Out of range,Matthias Heller,Co-Founder & CEO,Named,False,80,icp_match=25;core_signal=20;size_fit=0;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"No conference/event overlap found; standard outbound likely, no channel-partner signal.","Zurich-based ML data-curation/auto-labeling platform (active learning + self-supervised embeddings) shipping proprietary ML in production for computer-vision/autonomous-driving/robotics customers - strong ICP1 AI-native fit. No regulated-data or agentic signal found (weak secondary ICP2/ICP3 fit). Seed-stage (~$3.12M raised, no Series A) and headcount reported inconsistently across sources (~14 mid-2024 vs. ~20 in 2024 per Latka) puts company_stage/size_fit slightly below the Series A-B / 20-200 target, offsetting an otherwise strong profile.",https://www.lightly.ai/about-us; https://www.lightly.ai/; https://www.ycombinator.com/companies/lightly; https://www.venturelab.swiss/Lightly-Meet-the-Venture-Leader-Technology-curating-data-to-optimize-machine-learning; https://getlatka.com/companies/lightly.ai; https://www.seedtable.com/startups/Lightly-PBZNXMD,low,2026-07-15,2026-07-15,active,
maisa.ai,Maisa,ICP3,,3A,Adjacent,Strong,Explicit,Production agents,EU,In range (20-200),David Villalón,Co-Founder & CEO,Named,true,85,icp_match=25;core_signal=20;size_fit=15;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=-10,Hot,CEO David Villalón and CSO Manuel Romero (co-founders) publicly named and active in press/interviews.,"Maisa (Valencia, Spain, founded 2024) builds 'digital worker' AI agents on a proprietary Knowledge Processing Unit that turns LLMs into deterministic, auditable task executors, live in production inside a global investment bank and financial services firm running compliance-sensitive workflows. Clear ICP3 fit. Funding is technically Seed not Series A/B, hence 'Adjacent'. Note: Maisa's own auditability narrative overlaps with Blindsight's pitch (accuracy/hallucination reduction vs. adversarial security), creating some peer/adjacent-tooling risk, flagged via wrong_fit_risk.",https://maisa.ai/; https://techcrunch.com/2025/08/27/maisa-ai-gets-25m-to-fix-enterprise-ais-95-failure-rate/; https://www.eu-startups.com/2025/08/spains-maisa-raises-over-e21-million-to-deliver-trustworthy-and-digital-workers-that-dont-hallucinate/,high,2026-07-10,2026-07-10,watchlist,
malibou.com,malibou,ICP2,hr-tech,No clear match,Adjacent,Weak/Unknown,Implicit,None,EU,Out of range,Maxence Drummond,Co-founder & CEO,Named,False,70,icp_match=25;core_signal=10;size_fit=0;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"2-person founder-led team (per YC listing); CEO/CTO are the only public points of contact, no separate security/compliance function identified.","French HR & payroll SaaS (YC W24, $9.2M raised) handling sensitive employee HR/payroll data -- fits ICP2 vertical on implicit regulatory exposure, but shows no AI-native product signal (explicitly human-expert-positioned, anti-AI messaging) and no agent deployment. Buyer is CEO/CTO co-founders, not a security/compliance function, so persona_match is 'No clear match'. No secondary ICP1/ICP3 fit found.",https://www.ycombinator.com/companies/malibou; https://www.malibou.com/,low,2026-07-15,2026-07-15,active,
marvelx.ai,MarvelX AI,ICP3,,3A,Out of range,Strong,Explicit,Piloting/building,EU,Out of range,Ali el Hassouni,Founder & CEO,Named,false,65,icp_match=25;core_signal=10;size_fit=0;company_stage=0;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Warm,Founder & CEO Ali el Hassouni publicly named in EU-Startups funding coverage; team includes angels from DeepMind/Microsoft/Amazon/Coinbase.,"Amsterdam-based (EU) pre-seed insurtech ($6.4M led by EQT Ventures) explicitly branded 'Agentic AI for Insurance' - domain-specific AI agents that autonomously process claims documents, detect fraud, and handle customer communications for heavily regulated insurance operations. Autonomous action-taking framing drives ICP3 primary classification; strong secondary ICP2 signal (explicit regulated-industry / claims PII and financial-data exposure, insurtech vertical). Very early stage (pre-seed) with a small, still-hiring team, hence company_stage/size_fit both Out of range.",https://www.marvelx.ai/; https://www.marvelx.ai/company; https://www.eu-startups.com/2025/05/insurance-services-are-at-a-pivotal-moment-amsterdam-based-marvelx-raises-e5-4-million-for-ai-platform/,medium,2026-07-10,2026-07-10,watchlist,
nexos.ai,Nexos.ai,ICP1,,1B,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Emanuelis Norbutas,Chief Technology Officer,Named,True,90,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=-10,Hot,"CTO Emanuelis Norbutas publicly named on nexos.ai/team, The Org, Crunchbase, and an Authority Magazine interview; no email/phone captured per policy.","Vilnius-based, Nord Security co-founders, 51-100 employees, EUR30M Series A (Oct 2025) building an AI Gateway/orchestration platform that proxies 200+ LLM models plus shipped no-code agentic features in production for enterprise customers - strong ICP1 fit on size/stage/geo/AI-native maturity. Flagged wrong_fit_risk because the companys own product is AI governance/adoption tooling adjacent to Blindsight AI runtime security category; pitch should target their own multi-tenant AI Gateway as the unmonitored runtime attack surface rather than positioning as a pure customer.",https://techcrunch.com/2025/10/20/european-ai-rising-star-nexos-ai-raises-30m-to-unlock-enterprise-ai-adoption/;https://www.eu-startups.com/2025/10/with-e30-million-in-funding-vilnius-based-nexos-ai-sets-its-sights-on-ai-adoption-and-the-shadow-ai-challenge/;https://nexos.ai/features/ai-agents/;https://nexos.ai/team/;https://theorg.com/org/nexos-ai/org-chart/emanuelis-norbutas,medium,2026-07-11,2026-07-11,active,
okeiro.com,Okeiro,ICP2,healthtech,2A,On-target,Moderate,Explicit,None,EU,In range (20-200),Pierrick Arnal,Co-founder & CEO,Named,false,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,CEO Pierrick Arnal publicly named on LinkedIn/press; co-founders Thierry Beaupere and Prof. Alexandre Loupy also public. No named CISO/DPO found.,"Paris-based precision medicine company (rebranded from Predict4Health) processing highly sensitive transplant/chronic-disease patient data via its proprietary iBox algorithm, an EMA/FDA-qualified medical-device-grade predictive model deployed across 44 transplant centers, reimbursed by French national health insurance. Explicit, high-stakes regulatory/health-data exposure drives ICP2 classification; secondary ICP1 signal (production ML model) noted but rated Moderate maturity (validated clinical model, not fast-shipping LLM/RAG pipeline).",https://okeiro.com/en; https://www.globenewswire.com/news-release/2025/04/10/3059544/0/en/Okeiro-raises-10-Million-to-accelerate-development-of-its-Precision-Medicine-platform-for-Transplantation-and-Chronic-Diseases.html; https://okeiro.com/en/article/ibox,medium,2026-07-10,2026-07-10,active,
paymove.io,Paymove,ICP3,,3A,Adjacent,Moderate,Explicit,Piloting/building,EU,In range (20-200),Piotr Mazur,Founder & CEO,Named,False,85,icp_match=25;core_signal=10;size_fit=15;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,,"Seed-stage Polish fintech (QR-code offline/unattended payments infra, 2000+ locations, 600K+ users) that raised EUR2.12M in June 2026 explicitly earmarked to build dedicated Agentic AI Payments infrastructure (authorizing autonomous AI agents to transact) plus Western European expansion. Core existing product is payments-ops, not itself AI-native, so the agent angle is forward-looking/pre-production rather than shipped -- genuine ICP3 watchlist fit (maps to Authorization Broker), not a wrong-fit case. Secondary angle: heavy payment/financial-data regulatory exposure independent of AI. Headcount signals conflict (one aggregator says 4 employees vs. multiple concurrent open roles and 2000-location/600K-user scale) -- treated size_fit/confidence as low-confidence best estimate rather than trusting either extreme.",https://www.paymove.io/en/; https://www.eu-startups.com/2026/06/polish-fintech-paymove-secures-e2-12-million-to-drive-european-expansion; https://www.therecursive.com/polish-paymove-seed-funding-payment-infrastructure-ai-agents/; https://www.vestbee.com/insights/articles/paymove-lands-2-1-m; https://beinsure.com/news/paymove-raises-e2-12-mn/; https://www.thesaasnews.com/news/paymove-raises-2-12m-seed/; https://en.ain.ua/2025/09/23/paymove-secures-860k-investment/; https://justjoin.it/job-offer/paymove-lead-ui-ux-designer-sopot-ux; https://rocketjobs.pl/oferta-pracy/paymove-key-account-manager-sopot-sales-finanse-bankowosc-ubezpieczenia,low,2026-07-15,2026-07-15,watchlist,
peoplebox.ai,Peoplebox,ICP1,,1A,Adjacent,Strong,Explicit,Production agents,Other,In range (20-200),Abhinav Chugh,Co-Founder & CEO,Named,False,80,icp_match=25;core_signal=20;size_fit=15;company_stage=5;geo_fit=0;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"No known conference/event overlap identified; HQ Bengaluru, India — likely reachable via standard outbound, no channel-partner dependency found.","Primary ICP1 fit: Nova, an autonomous AI agent that sources candidates, places outreach calls, and conducts unassisted voice interviews, is core production revenue-generating functionality, not a bolt-on. Secondary ICP2 fit (hr-tech vertical, SOC2 Type 2 + published GDPR compliance handling candidate/employee PII) and secondary ICP3 angle (Nova's autonomous outreach/calling/interviewing is itself an agentic deployment) both apply but ICP1 is the strongest/primary signal. Employee headcount and precise funding stage unconfirmed in public sources (Tracxn/extruct.ai snippets only) — company_stage/size_fit are best-effort.",https://www.ycombinator.com/companies/peoplebox; https://www.peoplebox.ai/; https://www.peoplebox.ai/about-us/; https://wellfound.com/company/peoplebox-ai/people; https://www.extruct.ai/hub/peoplebox-ai/; https://www.crunchbase.com/organization/peoplebox-ai; https://tracxn.com/d/companies/peoplebox/; https://www.peoplebox.ai/blog/soc-2-compliant/; https://www.peoplebox.ai/gdpr-compliance/; https://www.peoplebox.ai/blog/building-a-great-company-culture-with-nova/,medium,2026-07-15,2026-07-15,active,
pxl-vision.com,PXL Vision,ICP1,,1A,Adjacent,Strong,Explicit,None,EU,In range (20-200),Michael Born,Founder & CEO,Named,False,95,icp_match=25;core_signal=20;size_fit=15;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO is a publicly identifiable founder figure (press coverage since 2017 founding, ETH Zurich / VentureLab profile) - likely reachable directly or via LinkedIn.","ETH Zurich spin-off shipping proprietary ML continuously in production (Feb 2026 deepfake detector built with Idiap Research Institute, active ML/CV hiring) - squarely ICP1 AI-native product profile. Also carries a strong secondary ICP2 signal: core business (PXL Ident) processes biometric facial data and KYC/AML identity data with AI (deepfake, liveness, face-match) directly in the pipeline for regulated clients (Swisscom, TWINT, BCV cantonal bank). Named buyer (CEO Michael Born) maps to persona 1A. Funding is stale relative to 9 years operating history (last raise ~$4.8M seed, May 2020, no 2025/2026 activity) and employee count conflicts across sources (34 vs 51-200), so scored company_stage as Adjacent rather than clean On-target; confidence set to medium for this reason. Zurich HQ counted as EU geo fit, consistent with ICP1's own Zurich-base framing. No agentic/autonomous AI evidence found (classification models, not agents) so agent_deployment_stage is None. Low wrong_fit_risk - this is an AI/biometric-data company whose own ML runtime needs monitoring, not an infra/identity-security-only vendor, though it is worth confirming PXL Vision is a prospective customer rather than an adjacent identity-security-niche player before outreach.",https://www.pxl-vision.com/; https://www.biometricupdate.com/202602/pxl-vision-integrates-deepfake-detection-technique-from-research-with-idiap; https://www.pxl-vision.com/en/press/solution-for-deepfake-detection-research; https://www.venturelab.swiss/Meet-PXL-Vision-founder-Michael-Born-and-find-out-how-he-helps-customers-build-trust-in-digital-onboarding; https://theorg.com/org/pxl-vision; https://www.eu-startups.com/2020/05/swiss-startup-pxl-vision-raises-e4-3-million-for-its-id-verification-tech/; https://ethz.ch/en/news-and-events/eth-news/news/2019/11/eth-spin-off-pxl-vision.html; https://pxl-vision.jobs.personio.com/job/2291583?language=en; https://www.pxl-vision.com/en/company/career,medium,2026-07-15,2026-07-15,active,
qantev.com,Qantev,ICP1,,1B,On-target,Strong,Explicit,None,EU,In range (20-200),Hadrien de March,Co-Founder & CTO,Named,false,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,CTO/co-founder Hadrien de March publicly named; CEO/co-founder Tarik Dadi (ex-AXA lead data scientist) also publicly named.,"Paris-based insurtech (founded 2019) whose entire product is proprietary, targeted ML models automating health-insurance claims decisions (medical necessity, pricing, fraud detection) for AXA, Generali, FWD in 12 countries - textbook AI-native product company. Raised EUR30M Series B on top of EUR10M Series A, ~56-69 employees. Also carries explicit ICP2 signal (regulated health/financial claims data for major insurers) noted as secondary.",https://www.qantev.com/; https://techcrunch.com/2024/10/09/health-insurtech-startup-qantev-raises-e30-million-to-outperform-llms-with-small-ai-models/; https://www.qantev.com/news/qantev-raise-30-million-euros-from-blossom-capital,high,2026-07-10,2026-07-10,active,
recaresolutions.com,Recare,ICP2,healthtech,No clear match,On-target,Strong,Explicit,Piloting/building,EU,In range (20-200),Maximilian Greschke,Founder & CEO,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO is a named conference speaker (NEXT Conference, Digital Health Conference) - possible event-overlap outreach angle","German healthtech (Recare Deutschland GmbH, rebranded recaresolutions.com -> recareai.com) processing patient discharge/medical records for 1,000+ hospitals - explicit regulated health-data exposure fits ICP2 squarely. Secondary ICP1 signal: broad shipping AI product suite (predict/voice/extract/docs/agent) shows strong AI-native maturity. No named buyer maps to a defined ICP2 persona (CEO, not CISO/Compliance/IT-Security) hence No clear match.",https://recareai.com/; https://recareai.com/ueber-uns; https://visionaere-gesundheit.de/maximilian-greschke/; https://www.handelsblatt.com/technik/medizin/start-up-recare-37-millionen-euro-fuer-digitales-entlassmanagement/100193963.html; https://www.crunchbase.com/organization/recare-solutions,medium,2026-07-15,2026-07-15,active,
starmind.ai,Starmind,ICP1,,1A,Adjacent,Strong,Implicit,None,EU,In range (20-200),Marc Vontobel,Founder & CEO,Named,False,95,icp_match=25;core_signal=20;size_fit=15;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"Leadership contacts (CEO Vontobel, CTO Trombini, Head of AI Cristina) are public on-site; however Starmind was acquired by Capacity (US, ~March 2026) about 3.5 months before this research, so real decision authority may now sit with Capacity leadership rather than Starmind's own team - verify current org structure before outreach.","AI is the entire product (patented expertise-mapping engine analyzing employee activity across Slack/Teams/JIRA/Workday since 2010, dedicated Head of AI role) - strong ICP1 fit. Handles internal org data for regulated-industry customers (e.g. Roche) giving implicit ICP2-adjacent exposure, but core business is horizontal knowledge tooling, not a sensitive-data vertical, so ICP1 is primary. No agentic/tool-calling behavior found. Recent acquisition by Capacity (US parent, ~March 2026) makes it functionally a subsidiary/product line rather than a clean independent Series A-B target, hence company_stage Adjacent rather than On-target.",https://www.starmind.com/; https://www.starmind.com/about-us; https://en.wikipedia.org/wiki/Starmind_International; https://www.starmind.com/blog/capacity-acquires-starmind; https://www.startupticker.ch/en/news/zuerich-based-starmind-acquired-by-us-ai-platform-company-capacity; https://getlatka.com/companies/starmind.ai,medium,2026-07-15,2026-07-15,active,
synera.ai,Synera,ICP3,,3A,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Dr. Moritz Maier,Chief Executive Officer & Co-founder,Named,false,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO Dr. Moritz Maier publicly named and active in German trade press (Automobilwoche, IT&Production, Automobil Industrie); company offers self-serve demo signup.","Munich-area/German (EU) agentic-engineering startup, founded 2018, Series B ($40M led by Revaia, $58M total raised), ~89 employees (Pitchbook). Product deploys AI agents that autonomously execute engineering workflows (CAD/CAE/simulation) across 80+ integrated tools, with 170K+ automations already in production for 60+ enterprise customers (NASA, Airbus, BMW). Textbook ICP3: agents taking real actions inside customer engineering toolchains. Strong secondary ICP1 signal (proprietary, continuously-shipped AI agent platform). Engineering IP/export-sensitive data handled by agents is an implicit regulatory exposure.",https://www.synera.ai/; https://www.synera.ai/about; https://siliconangle.com/2026/04/14/german-startup-synera-lands-40-million-automate-engineering-workflows-ai-agents/,high,2026-07-10,2026-07-10,watchlist,
synthesized.io,Synthesized,ICP1,,1A,On-target,Strong,Explicit,Production agents,EU,In range (20-200),Nicolai Baldin,Co-Founder & CEO,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO publicly named/quoted in Fortune, EU-Startups, Forbes Technology Council profile; no direct contact info stored per policy.","AI-native agentic test-data platform (Series A, ~35-70 staff, London primary HQ) shipping production agentic AI against regulated financial/PII datasets for clients like Deutsche Bank/UBS/EU Commission; named technical CEO buyer.",https://fortune.com/2025/09/24/synthesized-series-a-20-million-for-ai-powered-software-testing-qa-redalpine/;https://www.eu-startups.com/2025/09/synthesized-raises-over-e17-million-to-change-how-enterprises-build-and-test-software-in-the-ai-era/;https://tracxn.com/d/companies/synthesized/__0WIH74SYF5UuAW_0HsA4m4396QjdYYuxKI_iiHNJT1g;https://councils.forbes.com/profile/Nicolai-Baldin-CEO-Synthesized/3c257b9f-dded-4bc3-85bf-21ec6411936c,high,2026-07-11,2026-07-11,active,
tandemhealth.ai,Tandem Health,ICP1,,1B,On-target,Strong,Explicit,None,EU,In range (20-200),Oliver Åstrand,CTO & Co-Founder,Named,false,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,CTO/co-founder Oliver Åstrand publicly named; CEO/co-founder Lukas Saari also public via LinkedIn.,"Swedish (Stockholm) healthtech founded 2023, raised $50M Series A (Kinnevik). Core product is a proprietary AI ambient scribe/medical copilot, CE-marked as Class IIa medical device, shipped continuously to 1000+ healthcare orgs across Nordics/UK/Germany/France/Spain. Strong secondary ICP2 signal (patient health data under GDPR/EU MDR/NHS DSPT). No autonomous agentic actions yet (clinician approval required).",https://sifted.eu/articles/tandem-series-a; https://tech.eu/2025/07/14/tandem-health-raises-50m-series-a-to-scale-its-ai-scribe-across-the-nhs/; https://tandemhealth.ai/product/data-security,high,2026-07-10,2026-07-10,active,
tortus.ai,TORTUS AI,ICP3,,3B,Adjacent,Strong,Explicit,Production agents,EU,In range (20-200),Christopher Tan,CTO & Co-founder,Named,false,95,icp_match=25;core_signal=20;size_fit=15;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,CTO/co-founder Christopher Tan publicly named with LinkedIn; CEO Dom Pimenta (ex-NHS doctor) also publicly named.,"OSLER, Tortus's core product, is an autonomous agent that listens to clinician-patient conversations and independently operates any EHR system via screen/mouse/keyboard control to write notes, order tests, summarize records - deployed in production NHS trials (~2,500 weekly clinician users, NHS DTAC certification). Literal ICP3 fit: agent taking actions on live clinical systems. Funding is $4.2M seed (Khosla Ventures), genuinely Seed stage hence 'Adjacent'.",https://tech.eu/2024/02/12/tortus-secures-4-2m-seed-funding-for-clinical-documentation-automation/; https://nhsaccelerator.com/innovations/tortus-ai/; https://tortus.ai/tortus-raises-us4-2m-from-khosla-ventures-for-ai-assistants/,high,2026-07-10,2026-07-10,watchlist,
tsuga.com,Tsuga,ICP1,,1A,On-target,Strong,Implicit,Piloting/building,EU,In range (20-200),Gabriel-James Safar,Co-Founder & CEO,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO Gabriel-James Safar publicly named across EU-Startups, TechFundingNews, General Catalyst portfolio page, and Tsuga's own blog; active on LinkedIn. Co-founder/CTO Sebastien Deprez and Head of GTM Valentin Jacquemont also publicly named.","Paris-based (Neuilly-sur-Seine) BYOC observability platform founded 2024 by ex-Datadog leaders (sold Madumbo to Datadog in 2019). Self-positions as 'AI-Native Resilient Observability': ships AI-powered anomaly detection and AI-assisted root cause analysis on unsampled telemetry, and offers an MCP server / CLI letting customer teams build their own agents on observability data. Progressed from an e8.7M/$10M Seed (Nov 2025, General Catalyst) to a $35M/e30M Series A (announced 23 Jun 2026, led by Singular with DST Global Partners, Quantumlight, Databricks Ventures) explicitly to expand its 'AI agent platform' -- squarely Series A stage now, not seed. Team grew from ~25 at seed toward a target of ~100 with the new round, placing headcount in the 20-200 band. Handles 'sensitive AI interaction data' and ships a sensitive-data scanner for telemetry, an implicit regulated-data exposure signal, though the company is not itself a regulated-vertical (fintech/healthtech) business, so ICP1 (not ICP2) is the primary fit. No evidence yet that Tsuga itself operates autonomous production agents that transact (its agent tooling is a customer-facing building capability), so ICP3 is a plausible secondary/watchlist angle but not the primary classification.",https://www.eu-startups.com/2025/11/paris-based-tsuga-raises-e8-7-million-to-help-enterprises-cope-as-logs-metrics-and-traces-grow-30-a-year/; https://www.eu-startups.com/2026/06/french-observability-startup-tsuga-lands-e30-million-to-expand-ai-agent-platform/; https://techfundingnews.com/ex-datadog-founders-raise-35m-tsuga-observability/; https://www.tsuga.com/resources/blog/we-raised-35-million-here-is-why-and-what-it-means-; https://www.generalcatalyst.com/stories/seeding-the-future-with-tsuga; https://www.linkedin.com/in/gabriel-james-safar-44789260/,high,2026-07-11,2026-07-11,active,
wordsmith.ai,Wordsmith,ICP1,,1A,On-target,Strong,Explicit,Piloting/building,EU,In range (20-200),Ross McNairn,CEO and co-founder,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"Buyer publicly named across funding-round press (Index Ventures, Artificial Lawyer, TechFundingNews, Scottish Legal News); no direct contact info stored per policy.","AI-native legal-tech product company (ICP1) building proprietary LLMs for contract drafting/review/research, with agentic framing in Series A/B press (""deploy AI agents""); secondary ICP2 fit as a handler of sensitive legal/contract data for 500+ enterprise legal teams. Series B ($70M, ~$100M total) is a large late round bordering Adjacent but still reads On-target for the Series A-B band.",https://www.wordsmith.ai/; https://www.wordsmith.ai/company; https://www.indexventures.com/perspectives/wordsmith-ai-raises-25m-series-a-to-deploy-ai-agents-and-transform-legal-roles/; https://www.artificiallawyer.com/2026/06/03/wordsmith-raises-70m-series-b/; https://techfundingnews.com/wordsmith-raises-70m-series-b-to-bring-legal-work-back-in-house-as-harvey-hits-11b-and-the-legal-ai-arms-race-accelerates/; https://www.scottishlegal.com/articles/edinburgh-headquartered-wordsmith-ai-raises-70m,medium,2026-07-15,2026-07-15,active,
